Comment ID,Created Time,From,Comment
UgxKMpi4Lh2-UR2XH5t4AaABAg,2024-02-06T21:00:47Z,@analyticswithadam,"Updated Video <a href=""https://www.youtube.com/watch?v=A1III_DQU4I"">https://youtu.be/A1III_DQU4I?si=_8-d4OpoIHpr2jJm</a>"
Ugwa0DH6wFE_a3wBG2R4AaABAg,2024-07-27T17:01:43Z,@PltShine,How to get email or information of authors who commented
UgzNbCx96RAy6ajBvvx4AaABAg,2024-07-15T13:44:58Z,@Dr.FarisArab,i dont know any coding but u nailed it. job well jobed 🎉 thanx
UgzRBrcoGc6JPbDBERV4AaABAg,2024-07-06T00:32:12Z,@MucellaYusuf,"Obrigado, Avanco Social, pelos seguidores excelentes!"
Ugwhr8A6lVKUq2Pp84J4AaABAg,2024-06-12T16:45:09Z,@1.4142,"Funny thing is that comments seem to already be sorted by sentiment by the youtube algorithm, with the most positive on the top."
UgxpT_xs3_xm-jjkA_N4AaABAg,2024-05-02T17:03:55Z,@Trueman94,thank u so much sir .. But this code can fetch only 100 comments maximum .. please tell me an efficient way to fetch thousands of comments!!
UgyKczfwzXNiqQ6f7tZ4AaABAg,2024-04-11T16:18:33Z,@williamborruso,"Fantastic video, thanks a lot!"
UgxnYDJPawXPngyw2sh4AaABAg,2024-03-18T10:45:22Z,@skm9593,can we turn it into a json
UgygB2llnmQ--SK_7g94AaABAg,2024-02-27T13:56:15Z,@digitaltechy6217,❤💯🙏 Thanks a ton fir this Video 💯🙏❤
UgzqrToO0b00DdzbOIN4AaABAg,2024-02-25T12:56:05Z,@juleslincredule,Hello Adam... How can we grab all the comments and not being limited?<br><br>Great work!!!
UgyDzSdwoMV1f9VxDS94AaABAg,2024-02-22T22:49:46Z,@ruari-mcn-fs,Great tutorial thanks mate! Are you a fellow Irishman?
UgwMdKh6F0f-1eEqP2J4AaABAg,2024-02-19T14:05:23Z,@niveditatanksali7686,Is there a way to export the list of comments into an excel sheet?
UgzkcD44BkQbOrivOll4AaABAg,2024-02-06T21:00:08Z,@analyticswithadam,"Updated video with replies <a href=""https://www.youtube.com/watch?v=A1III_DQU4I"">https://youtu.be/A1III_DQU4I?si=_8-d4OpoIHpr2jJm</a>"
Ugzz0Fpf8d14FK0A4IF4AaABAg,2024-01-31T19:51:31Z,@erramuspe1,"Great information, thanks for contribution!!"
Ugw3LRrF8G13t8jJPOt4AaABAg,2024-01-22T01:41:55Z,@jasongibbs5357,"Need a direct link to Google Cloud or API it is requiring me to sign up and get $300 dollar credit to spend in the next 90 days, WTF. I cannot continue since this tutorial video is incomplete. They are forcing me to put in a payment method. I have done a google API before with no issue.."
UgygAw6xUMLHoggsH0F4AaABAg,2024-01-03T15:15:32Z,@user-hx2xi1bs1c,"Great stuff, thanks! I wonder if I can retrieve all comments related to specific topic or video title (from multiple videos) or video link is required parameter? Thanks again."
UgyzKNPvzt3P5OIFfXh4AaABAg,2023-12-04T14:40:36Z,@hanifbudiarti,thankyou adam
UgwMEWzjPrhSZ2QatF14AaABAg,2023-11-13T19:13:52Z,@mayurhanwate6012,good video
Ugwev_jKGnWmCBzt_1d4AaABAg,2023-11-10T19:40:02Z,@ketonesgaming1121,How many maximum comments can we pull at a time ? I can pull 20 commments . But I want to get more .. Help us
UgxDIPoeueUrgijL3ah4AaABAg,2023-11-10T04:36:31Z,@soumilyade1057,Only the top level comments are returned through the API. How do we get all the comments?
Ugzni32TS8oJKZlQLdl4AaABAg,2023-11-02T04:42:15Z,@crisearlbalangyao3190,How do I put the comments into spreadsheet?
Ugz0jr-wSPttBV6_3Ax4AaABAg,2023-10-31T09:22:11Z,@analyticswithadam,"Finally got around to making the advanced video. Find out how to Scrape all comments and attributes here <a href=""https://www.youtube.com/watch?v=0FtcHjI5lmw"">https://youtu.be/0FtcHjI5lmw?si=QtUjhVqTXJS3YKZP</a>"
UgwPYx8u2xCpGtSeeXh4AaABAg,2023-10-30T15:13:26Z,@shuvodeeptalukdarsh-2143,wow
Ugwgsqk6avnLmEbuEZh4AaABAg,2023-10-26T22:02:12Z,@mudeamemdm8299,works with live video ?
UgxakP18PCo0I2knevx4AaABAg,2023-10-22T07:57:21Z,@shahirnaga4507,Great video! will it also scrape Instagram videos?
UgytMDSRve1MgK8Qx5V4AaABAg,2023-10-14T11:02:05Z,@JavierRodriguez-wq3yw,Thank you so much! Great video. Looking forward to the second part
Ugxr0La347vlD58XXAt4AaABAg,2023-10-11T19:22:05Z,@GraceZhang-oo5sf,Great video! Can you make an explain video on how to write the code for these pull comments? Why do we need these libraries? Where can we find the format &#39; youtube = googleapiclient.discovery.build&#39;? Thank you vary much!
UgyDklf1KN3ilk3K9dJ4AaABAg,2023-10-03T15:01:35Z,@JeanSuman,"I tried to make a loop to get all the videos from a channel and scrape all the comments. However, it gave the following error &quot;the request cannot be completed because you have exceeded your quota&quot; - From what I understand, the API has a daily request limit, is that it? - In fact, when the video has a private comment, the request returns 403."
Ugyg2zelFWswTmS99Wt4AaABAg,2023-09-30T15:38:26Z,@hernandosangkanparan5543,"Hi, i Found this video to be very helpfull in my research, I am wondering if there is a way to get the result to be top comment instead of latest comment ?"
UgxhejMpEC88gGkoOP54AaABAg,2023-09-28T18:44:04Z,@SuneetDSilva-ll9ij,Does this work with Youtube shorts?
UgzrNKmpZ6v_u4Itov94AaABAg,2023-09-28T05:03:20Z,@haroldh200,No te olvides de continuar este proyecto y agregar mas paginacion a los 100 comentarios por favor
UgzdUYM1VOqn_yH1mp14AaABAg,2023-09-14T14:43:46Z,@zapalblizh,"question, i&#39;m currently using the youtube api to get comments from a video, however, for some reason, the api also gets the comments deleted by the channel&#39;s owner (like scam comments or hateful comments that were deleted from the video comments for obvious reasons) is there any way to remove those type of comments from the api request without having to find every single hateful comment&#39;s id and remove them manually?"
UgxZJ2w7DWDDlRzhCsl4AaABAg,2023-09-09T11:55:34Z,@estebanlopez5372,"But it doesn&#39;t show all the comments, even changing the &quot;maxResults&quot; variable :("
UgzZ2J9naRYEJ_3lsMh4AaABAg,2023-09-07T16:45:12Z,@user-fq3eb4hq8r,Thank you so much Adam .It is really very helpful.
UgymZneejHndDsgeowZ4AaABAg,2023-08-17T13:42:43Z,@romanr8668,"Very helpful video. I was doing web scrapping using bs4 and selenium, but this API way is very good and easy."
UgxdwwaeDg0lVoOSyFV4AaABAg,2023-08-07T03:45:07Z,@gabiru-danger,Can i scrap any youtube video? Or just the video that i have on my channel?
UgzH12K8N3yzxBG_lEB4AaABAg,2023-08-06T17:10:34Z,@preetandaisiri9967,"hi, how to fetch real time data from you tube, please guide me"
Ugyhj9Rpvd4yIe79CIR4AaABAg,2023-08-02T23:50:21Z,@letconsultingpartnermexico6390,"Thanks, easy peasy! Is there a way we can have a column for language?"
UgwYuDgDBAb8i0PU0RB4AaABAg,2023-07-18T16:58:47Z,@paulnnakwe,"Thanks, Adam. This was easy and straightforward. <br>Is it possible to get up to 1000 comments using this cos it seems there&#39;s a cap of 100 even after I changed the limit"
Ugy8csMs9DWV9YvjHp54AaABAg,2023-07-16T15:35:01Z,@hatingtoxicpeople,"Just a question, do we have to pay to use google cloud platform?"
UgygVsHMKiVWx3ZfCuV4AaABAg,2023-07-16T15:19:28Z,@hatingtoxicpeople,"Thank you, Adam! Very straightforward!"
UgytytDfRkGmlENA2pJ4AaABAg,2023-07-13T18:58:43Z,@zoraizelya3975,"hey Adam,<br>Thank you for this video, I will really appreciate if you upload another videos[Advance] on the same topic. Waiting........"
UgxobbYFW5QNK-WFcNF4AaABAg,2023-07-12T19:32:27Z,@oraclesql,Thank you for this Adam. Great tuorial
